"REF_DATE","GEO","VALUE"
"1955-07","New Brunswick","548000"
"1955-07","Quebec","4529000"
"1955-07","Ontario","5278000"
"1955-07","Manitoba","841000"
"1955-07","Saskatchewan","879000"
"1955-07","Alberta","1094000"
"1955-07","British Columbia","1347000"
"1955-07","Yukon","11000"
"1955-07","Northwest Territories including Nunavut","18000"
"1955-10","Canada","15834000"
"1955-10","Newfoundland and Labrador","410000"
"1955-10","Prince Edward Island","100000"
"1955-10","Nova Scotia","688000"
"1955-10","New Brunswick","550000"
"1955-10","Quebec","4557000"
"1955-10","Ontario","5311000"
"1955-10","Manitoba","844000"
"1955-10","Saskatchewan","880000"
"1955-10","Alberta","1102000"
"1955-10","British Columbia","1362000"
"1955-10","Yukon","12000"
"1955-10","Northwest Territories including Nunavut","18000"
"1956-01","Canada","15919000"
"1956-01","Newfoundland and Labrador","412000"
"1956-01","Prince Edward Island","100000"
"1956-01","Nova Scotia","690000"
"1956-01","New Brunswick","552000"
"1956-01","Quebec","4581000"
"1956-01","Ontario","5344000"
"1956-01","Manitoba","845000"
"1956-01","Saskatchewan","879000"
"1956-01","Alberta","1109000"
"1956-01","British Columbia","1377000"
"1956-01","Yukon","12000"
"1956-01","Northwest Territories including Nunavut","18000"
"1956-04","Canada","16004000"
"1956-04","Newfoundland and Labrador","414000"
"1956-04","Prince Edward Island","99000"
"1956-04","Nova Scotia","693000"
"1956-04","New Brunswick","553000"
"1956-04","Quebec","4606000"
"1956-04","Ontario","5375000"
"1956-04","Manitoba","848000"
"1956-04","Saskatchewan","879000"
"1956-04","Alberta","1118000"
"1956-04","British Columbia","1388000"
"1956-04","Yukon","12000"
"1956-04","Northwest Territories including Nunavut","19000"
"1956-07","Canada","16123000"
"1956-07","Newfoundland and Labrador","416000"
"1956-07","Prince Edward Island","99000"
"1956-07","Nova Scotia","695000"
"1956-07","New Brunswick","556000"
"1956-07","Quebec","4641000"
"1956-07","Ontario","5423000"
"1956-07","Manitoba","850000"
"1956-07","Saskatchewan","881000"
"1956-07","Alberta","1126000"
"1956-07","British Columbia","1405000"
"1956-07","Yukon","12000"
"1956-07","Northwest Territories including Nunavut","19000"
"1956-10","Canada","16235000"
"1956-10","Newfoundland and Labrador","418000"
"1956-10","Prince Edward Island","99000"
"1956-10","Nova Scotia","695000"
"1956-10","New Brunswick","557000"
"1956-10","Quebec","4671000"
"1956-10","Ontario","5470000"
"1956-10","Manitoba","852000"
"1956-10","Saskatchewan","880000"
"1956-10","Alberta","1136000"
"1956-10","British Columbia","1426000"
"1956-10","Yukon","12000"
"1956-10","Northwest Territories including Nunavut","19000"
"1957-01","Canada","16352000"
"1957-01","Newfoundland and Labrador","420000"
"1957-01","Prince Edward Island","99000"
"1957-01","Nova Scotia","695000"
"1957-01","New Brunswick","558000"
"1957-01","Quebec","4702000"
"1957-01","Ontario","5529000"
"1957-01","Manitoba","851000"
"1957-01","Saskatchewan","874000"
"1957-01","Alberta","1144000"
"1957-01","British Columbia","1449000"
"1957-01","Yukon","12000"
"1957-01","Northwest Territories including Nunavut","19000"
"1957-04","Canada","16479000"
"1957-04","Newfoundland and Labrador","422000"
"1957-04","Prince Edward Island","99000"
"1957-04","Nova Scotia","698000"
"1957-04","New Brunswick","560000"
"1957-04","Quebec","4737000"
"1957-04","Ontario","5580000"
"1957-04","Manitoba","856000"
"1957-04","Saskatchewan","875000"
"1957-04","Alberta","1153000"
"1957-04","British Columbia","1468000"
"1957-04","Yukon","12000"
"1957-04","Northwest Territories including Nunavut","19000"
"1957-07","Canada","16677000"
"1957-07","Newfoundland and Labrador","425000"
