"REF_DATE","GEO","DGUID","Standard Classification of Goods (SCG)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1958-10","Canada","","Fertilizers, mixed","Tonnes","288","units ","0","v39248","1.34","56277","","","t","0"
"1958-10","Canada","","Formaldehyde, 100% solids basis","Tonnes","288","units ","0","v39251","1.9","1776","","","","0"
"1958-10","Canada","","Oxygen, gas and liquid in cylinders or by delivery","Tonnes","288","thousands","3","v39261","1.35","2699","","","t","0"
"1958-10","Canada","","Sodium hydroxide (caustic soda), as 100% NaOH","Tonnes","288","units ","0","v39263","1.11","26030","","","","0"
"1958-11","Canada","","Acetylene in cylinders or for delivery by pipeline","Tonnes","288","thousands","3","v39232","1.31","411","","","t","0"
"1958-11","Canada","","Hydrochloric (muriatic) acid, 100%","Tonnes","288","units ","0","v39269","1.1","1468","","","","0"
"1958-11","Canada","","Sulphuric acid, all grades, including oleum, as 100%","Tonnes","288","units ","0","v39273","1.2","110976","","","","0"
"1958-11","Canada","","Ammonia, anhydrous, 100%","Tonnes","288","units ","0","v39284","1.3","20645","","","","0"
"1958-11","Canada","","Ammonium sulphate","Tonnes","288","units ","0","v39291","1.33","19565","","","t","0"
"1958-11","Canada","","Chlorine","Tonnes","288","units ","0","v39233","1.7","20158","","","","0"
"1958-11","Canada","","Fertilizers, mixed","Tonnes","288","units ","0","v39248","1.34","60174","","","t","0"
"1958-11","Canada","","Formaldehyde, 100% solids basis","Tonnes","288","units ","0","v39251","1.9","1624","","","","0"
"1958-11","Canada","","Oxygen, gas and liquid in cylinders or by delivery","Tonnes","288","thousands","3","v39261","1.35","2597","","","t","0"
"1958-11","Canada","","Sodium hydroxide (caustic soda), as 100% NaOH","Tonnes","288","units ","0","v39263","1.11","24101","","","","0"
"1958-12","Canada","","Acetylene in cylinders or for delivery by pipeline","Tonnes","288","thousands","3","v39232","1.31","434","","","t","0"
"1958-12","Canada","","Hydrochloric (muriatic) acid, 100%","Tonnes","288","units ","0","v39269","1.1","1368","","","","0"
"1958-12","Canada","","Sulphuric acid, all grades, including oleum, as 100%","Tonnes","288","units ","0","v39273","1.2","112125","","","","0"
"1958-12","Canada","","Ammonia, anhydrous, 100%","Tonnes","288","units ","0","v39284","1.3","26327","","","","0"
"1958-12","Canada","","Ammonium sulphate","Tonnes","288","units ","0","v39291","1.33","22266","","","t","0"
"1958-12","Canada","","Chlorine","Tonnes","288","units ","0","v39233","1.7","21413","","","","0"
"1958-12","Canada","","Fertilizers, mixed","Tonnes","288","units ","0","v39248","1.34","66866","","","t","0"
"1958-12","Canada","","Formaldehyde, 100% solids basis","Tonnes","288","units ","0","v39251","1.9","2094","","","","0"
"1958-12","Canada","","Oxygen, gas and liquid in cylinders or by delivery","Tonnes","288","thousands","3","v39261","1.35","2933","","","t","0"
"1958-12","Canada","","Sodium hydroxide (caustic soda), as 100% NaOH","Tonnes","288","units ","0","v39263","1.11","25055","","","","0"
"1959-01","Canada","","Acetylene in cylinders or for delivery by pipeline","Tonnes","288","thousands","3","v39232","1.31","410","","","t","0"
"1959-01","Canada","","Hydrochloric (muriatic) acid, 100%","Tonnes","288","units ","0","v39269","1.1","1598","","","","0"
"1959-01","Canada","","Sulphuric acid, all grades, including oleum, as 100%","Tonnes","288","units ","0","v39273","1.2","119684","","","","0"
"1959-01","Canada","","Ammonia, anhydrous, 100%","Tonnes","288","units ","0","v39284","1.3","29597","","","","0"
"1959-01","Canada","","Ammonium sulphate","Tonnes","288","units ","0","v39291","1.33","24284","","","t","0"
"1959-01","Canada","","Chlorine","Tonnes","288","units ","0","v39233","1.7","21357","","","","0"
"1959-01","Canada","","Fertilizers, mixed","Tonnes","288","units ","0","v39248","1.34","65992","","","t","0"
"1959-01","Canada","","Formaldehyde, 100% solids basis","Tonnes","288","units ","0","v39251","1.9","1661","","","","0"
"1959-01","Canada","","Oxygen, gas and liquid in cylinders or by delivery","Tonnes","288","thousands","3","v39261","1.35","2930","","","t","0"
"1959-01","Canada","","Sodium hydroxide (caustic soda), as 100% NaOH","Tonnes","288","units ","0","v39263","1.11","25544","","","","0"
"1959-02","Canada","","Acetylene in cylinders or for delivery by pipeline","Tonnes","288","thousands","3","v39232","1.31","402","","","t","0"
"1959-02","Canada","","Hydrochloric (muriatic) acid, 100%","Tonnes","288","units ","0","v39269","1.1","1389","","","","0"
"1959-02","Canada","","Sulphuric acid, all grades, including oleum, as 100%","Tonnes","288","units ","0","v39273","1.2","115828","","","","0"
"1959-02","Canada","","Ammonia, anhydrous, 100%","Tonnes","288","units ","0","v39284","1.3","28273","","","","0"
"1959-02","Canada","","Ammonium sulphate","Tonnes","288","units ","0","v39291","1.33","23160","","","t","0"
"1959-02","Canada","","Chlorine","Tonnes","288","units ","0","v39233","1.7","19865","","","","0"
"1959-02","Canada","","Fertilizers, mixed","Tonnes","288","units ","0","v39248","1.34","89895","","","t","0"
"1959-02","Canada","","Formaldehyde, 100% solids basis","Tonnes","288","units ","0","v39251","1.9","1654","","","","0"
"1959-02","Canada","","Oxygen, gas and liquid in cylinders or by delivery","Tonnes","288","thousands","3","v39261","1.35","2776","","","t","0"
"1959-02","Canada","","Sodium hydroxide (caustic soda), as 100% NaOH","Tonnes","288","units ","0","v39263","1.11","23960","","","","0"
"1959-03","Canada","","Acetylene in cylinders or for delivery by pipeline","Tonnes","288","thousands","3","v39232","1.31","421","","","t","0"
"1959-03","Canada","","Hydrochloric (muriatic) acid, 100%","Tonnes","288","units ","0","v39269","1.1","1841","","","","0"
"1959-03","Canada","","Sulphuric acid, all grades, including oleum, as 100%","Tonnes","288","units ","0","v39273","1.2","126906","","","","0"
"1959-03","Canada","","Ammonia, anhydrous, 100%","Tonnes","288","units ","0","v39284","1.3","36479","","","","0"
