"Date","Good","Scale","Value"
"1959-04","Fertilizers, mixed","units ","77735"
"1959-04","Formaldehyde, 100% solids basis","units ","2228"
"1959-04","Oxygen, gas and liquid in cylinders or by delivery","thousands","3090"
"1959-04","Sodium hydroxide (caustic soda), as 100% NaOH","units ","24469"
"1959-05","Acetylene in cylinders or for delivery by pipeline","thousands","403"
"1959-05","Hydrochloric (muriatic) acid, 100%","units ","1346"
"1959-05","Sulphuric acid, all grades, including oleum, as 100%","units ","133219"
"1959-05","Ammonia, anhydrous, 100%","units ","29898"
"1959-05","Ammonium sulphate","units ","28851"
"1959-05","Chlorine","units ","21390"
"1959-05","Fertilizers, mixed","units ","81568"
"1959-05","Formaldehyde, 100% solids basis","units ","2246"
"1959-05","Oxygen, gas and liquid in cylinders or by delivery","thousands","2980"
"1959-05","Sodium hydroxide (caustic soda), as 100% NaOH","units ","25104"
"1959-06","Acetylene in cylinders or for delivery by pipeline","thousands","434"
"1959-06","Hydrochloric (muriatic) acid, 100%","units ","1656"
"1959-06","Sulphuric acid, all grades, including oleum, as 100%","units ","118066"
"1959-06","Ammonia, anhydrous, 100%","units ","24978"
"1959-06","Ammonium sulphate","units ","28028"
"1959-06","Chlorine","units ","21705"
"1959-06","Fertilizers, mixed","units ","28889"
"1959-06","Formaldehyde, 100% solids basis","units ","2502"
"1959-06","Oxygen, gas and liquid in cylinders or by delivery","thousands","3429"
"1959-06","Sodium hydroxide (caustic soda), as 100% NaOH","units ","24999"
"1959-07","Acetylene in cylinders or for delivery by pipeline","thousands","407"
"1959-07","Hydrochloric (muriatic) acid, 100%","units ","1444"
"1959-07","Sulphuric acid, all grades, including oleum, as 100%","units ","115489"
"1959-07","Ammonia, anhydrous, 100%","units ","23059"
"1959-07","Ammonium sulphate","units ","17072"
"1959-07","Chlorine","units ","21842"
"1959-07","Fertilizers, mixed","units ","7515"
"1959-07","Formaldehyde, 100% solids basis","units ","1801"
"1959-07","Oxygen, gas and liquid in cylinders or by delivery","thousands","2952"
"1959-07","Sodium hydroxide (caustic soda), as 100% NaOH","units ","24597"
"1959-08","Acetylene in cylinders or for delivery by pipeline","thousands","384"
"1959-08","Hydrochloric (muriatic) acid, 100%","units ","1634"
