"Date","Good","Scale","Value"
"1992-11","Methyl alcohol (methanol)","units ","197517"
"1992-11","Nitric acid, 100 %","units ","66657"
"1992-12","Hydrochloric (muriatic) acid, 100%","units ","13248"
"1992-12","Sulphuric acid, all grades, including oleum, as 100%","units ","260336"
"1992-12","Ammonia, anhydrous, 100%","units ","351920"
"1992-12","Ammonium nitrate, all grades","units ","85957"
"1992-12","Ammonium phosphate, all grades","units ",
"1992-12","Benzene","units ","60825"
"1992-12","Chlorine","units ","110562"
"1992-12","Ethylene","units ","214575"
"1992-12","Formaldehyde, 100% solids basis","units ",
"1992-12","Sodium chlorate","units ","64266"
"1992-12","Sodium hydroxide (caustic soda), as 100% NaOH","units ","114398"
"1992-12","Polyethylene, total","units ","140120"
"1992-12","Polyethylene, low and linear low density","units ","91198"
"1992-12","Polyethylene, high density","units ","48922"
"1992-12","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","12352"
"1992-12","Polyvinyl chloride","units ","26634"
"1992-12","Polyesters, unsaturated","units ","2767"
"1992-12","Urea, all grades","units ","241866"
"1992-12","Phosphoric acid, wet process","units ",
"1992-12","Butadiene","units ","14848"
"1992-12","Butylene","units ",
"1992-12","Propylene, as propylene in all grades","units ","63033"
"1992-12","Toluene","units ","28396"
"1992-12","Xylene","units ",
"1992-12","Methyl alcohol (methanol)","units ","176661"
"1992-12","Nitric acid, 100 %","units ","77016"
"1993-01","Hydrochloric (muriatic) acid, 100%","units ","12091"
"1993-01","Sulphuric acid, all grades, including oleum, as 100%","units ","279114"
"1993-01","Ammonia, anhydrous, 100%","units ","342855"
"1993-01","Ammonium nitrate, all grades","units ","78044"
"1993-01","Ammonium phosphate, all grades","units ",
"1993-01","Benzene","units ","64668"
"1993-01","Chlorine","units ","101506"
"1993-01","Ethylene","units ","219947"
"1993-01","Formaldehyde, 100% solids basis","units ",
"1993-01","Sodium chlorate","units ","63756"
"1993-01","Sodium hydroxide (caustic soda), as 100% NaOH","units ","106474"
"1993-01","Polyethylene, total","units ","141424"
"1993-01","Polyethylene, low and linear low density","units ","93857"
"1993-01","Polyethylene, high density","units ","47567"
"1993-01","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","12646"
"1993-01","Polyvinyl chloride","units ","35777"
"1993-01","Polyesters, unsaturated","units ","2748"
"1993-01","Urea, all grades","units ","251448"
"1993-01","Phosphoric acid, wet process","units ",
"1993-01","Butadiene","units ","14366"
"1993-01","Butylene","units ",
"1993-01","Propylene, as propylene in all grades","units ","66206"
"1993-01","Toluene","units ","28508"
"1993-01","Xylene","units ","29720"
"1993-01","Methyl alcohol (methanol)","units ","183018"
"1993-01","Nitric acid, 100 %","units ","69576"
"1993-02","Hydrochloric (muriatic) acid, 100%","units ","12289"
"1993-02","Sulphuric acid, all grades, including oleum, as 100%","units ","266130"
"1993-02","Ammonia, anhydrous, 100%","units ","321385"
"1993-02","Ammonium nitrate, all grades","units ","81979"
"1993-02","Ammonium phosphate, all grades","units ",
"1993-02","Benzene","units ","56876"
"1993-02","Chlorine","units ","103777"
"1993-02","Ethylene","units ","204432"
"1993-02","Formaldehyde, 100% solids basis","units ",
"1993-02","Sodium chlorate","units ","62487"
"1993-02","Sodium hydroxide (caustic soda), as 100% NaOH","units ","107320"
"1993-02","Polyethylene, total","units ","138461"
"1993-02","Polyethylene, low and linear low density","units ","89469"
"1993-02","Polyethylene, high density","units ","48992"
"1993-02","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","13014"
"1993-02","Polyvinyl chloride","units ","34545"
"1993-02","Polyesters, unsaturated","units ","3277"
"1993-02","Urea, all grades","units ","220085"
"1993-02","Phosphoric acid, wet process","units ",
"1993-02","Butadiene","units ","11181"
"1993-02","Butylene","units ",
"1993-02","Propylene, as propylene in all grades","units ","61127"
"1993-02","Toluene","units ","29812"
"1993-02","Xylene","units ","28668"
"1993-02","Methyl alcohol (methanol)","units ","180607"
"1993-02","Nitric acid, 100 %","units ","75151"
"1993-03","Hydrochloric (muriatic) acid, 100%","units ","12828"
"1993-03","Sulphuric acid, all grades, including oleum, as 100%","units ","273492"
"1993-03","Ammonia, anhydrous, 100%","units ","372081"
"1993-03","Ammonium nitrate, all grades","units ","103764"
"1993-03","Ammonium phosphate, all grades","units ","77165"
"1993-03","Benzene","units ","63014"
"1993-03","Chlorine","units ","112317"
"1993-03","Ethylene","units ","208781"
"1993-03","Formaldehyde, 100% solids basis","units ",
"1993-03","Sodium chlorate","units ","69521"
"1993-03","Sodium hydroxide (caustic soda), as 100% NaOH","units ","117637"
"1993-03","Polyethylene, total","units ","149412"
"1993-03","Polyethylene, low and linear low density","units ","98854"
"1993-03","Polyethylene, high density","units ","50558"
"1993-03","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","13823"
"1993-03","Polyvinyl chloride","units ","29918"
"1993-03","Polyesters, unsaturated","units ","4101"
"1993-03","Urea, all grades","units ","278734"
"1993-03","Phosphoric acid, wet process","units ",
"1993-03","Butadiene","units ","13452"
"1993-03","Butylene","units ",
"1993-03","Propylene, as propylene in all grades","units ","65080"
"1993-03","Toluene","units ","30482"
"1993-03","Xylene","units ","28666"
"1993-03","Methyl alcohol (methanol)","units ","186920"
"1993-03","Nitric acid, 100 %","units ","92814"
"1993-04","Hydrochloric (muriatic) acid, 100%","units ","10827"
"1993-04","Sulphuric acid, all grades, including oleum, as 100%","units ","261528"
"1993-04","Ammonia, anhydrous, 100%","units ","346594"
"1993-04","Ammonium nitrate, all grades","units ","91827"
"1993-04","Ammonium phosphate, all grades","units ",
"1993-04","Benzene","units ","41800"
"1993-04","Chlorine","units ","98037"
"1993-04","Ethylene","units ","219615"
"1993-04","Formaldehyde, 100% solids basis","units ",
"1993-04","Sodium chlorate","units ","72064"
"1993-04","Sodium hydroxide (caustic soda), as 100% NaOH","units ","104024"
"1993-04","Polyethylene, total","units ","135566"
"1993-04","Polyethylene, low and linear low density","units ","84597"
"1993-04","Polyethylene, high density","units ","50969"
"1993-04","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","14456"
"1993-04","Polyvinyl chloride","units ","34842"
"1993-04","Polyesters, unsaturated","units ","3656"
"1993-04","Urea, all grades","units ","287095"
"1993-04","Phosphoric acid, wet process","units ",
"1993-04","Butadiene","units ","16748"
"1993-04","Butylene","units ",
"1993-04","Propylene, as propylene in all grades","units ","63653"
"1993-04","Toluene","units ","26513"
"1993-04","Xylene","units ","18948"
"1993-04","Methyl alcohol (methanol)","units ","198450"
"1993-04","Nitric acid, 100 %","units ","76825"
"1993-05","Hydrochloric (muriatic) acid, 100%","units ","10737"
"1993-05","Sulphuric acid, all grades, including oleum, as 100%","units ","322906"
"1993-05","Ammonia, anhydrous, 100%","units ","370768"
"1993-05","Ammonium nitrate, all grades","units ","88677"
"1993-05","Ammonium phosphate, all grades","units ",
"1993-05","Benzene","units ","34761"
"1993-05","Chlorine","units ","98160"
"1993-05","Ethylene","units ","225952"
"1993-05","Formaldehyde, 100% solids basis","units ",
"1993-05","Sodium chlorate","units ","65925"
"1993-05","Sodium hydroxide (caustic soda), as 100% NaOH","units ","101588"
"1993-05","Polyethylene, total","units ","155130"
"1993-05","Polyethylene, low and linear low density","units ","91596"
"1993-05","Polyethylene, high density","units ","63534"
"1993-05","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","13824"
"1993-05","Polyvinyl chloride","units ","33509"
"1993-05","Polyesters, unsaturated","units ","3637"
"1993-05","Urea, all grades","units ","283861"
"1993-05","Phosphoric acid, wet process","units ",
"1993-05","Butadiene","units ","13526"
"1993-05","Butylene","units ","15457"
"1993-05","Propylene, as propylene in all grades","units ","67295"
"1993-05","Toluene","units ","23273"
"1993-05","Xylene","units ","17277"
"1993-05","Methyl alcohol (methanol)","units ","182350"
"1993-05","Nitric acid, 100 %","units ","78762"
"1993-06","Hydrochloric (muriatic) acid, 100%","units ","11058"
"1993-06","Sulphuric acid, all grades, including oleum, as 100%","units ","287020"
"1993-06","Ammonia, anhydrous, 100%","units ","302259"
"1993-06","Ammonium nitrate, all grades","units ","86443"
"1993-06","Ammonium phosphate, all grades","units ",
"1993-06","Benzene","units ","57915"
"1993-06","Chlorine","units ","106767"
"1993-06","Ethylene","units ","215753"
"1993-06","Formaldehyde, 100% solids basis","units ",
"1993-06","Sodium chlorate","units ","66986"
"1993-06","Sodium hydroxide (caustic soda), as 100% NaOH","units ","110343"
"1993-06","Polyethylene, total","units ","130564"
"1993-06","Polyethylene, low and linear low density","units ","74005"
"1993-06","Polyethylene, high density","units ","56559"
"1993-06","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","12286"
"1993-06","Polyvinyl chloride","units ","35748"
"1993-06","Polyesters, unsaturated","units ","3689"
"1993-06","Urea, all grades","units ","224837"
"1993-06","Phosphoric acid, wet process","units ",
"1993-06","Butadiene","units ","15876"
"1993-06","Butylene","units ","14972"
"1993-06","Propylene, as propylene in all grades","units ","63811"
"1993-06","Toluene","units ","30506"
"1993-06","Xylene","units ","19386"
"1993-06","Methyl alcohol (methanol)","units ","199788"
"1993-06","Nitric acid, 100 %","units ","78632"
"1993-07","Hydrochloric (muriatic) acid, 100%","units ","10767"
"1993-07","Sulphuric acid, all grades, including oleum, as 100%","units ","272325"
"1993-07","Ammonia, anhydrous, 100%","units ","310971"
"1993-07","Ammonium nitrate, all grades","units ","75884"
"1993-07","Ammonium phosphate, all grades","units ",
"1993-07","Benzene","units ","63763"
"1993-07","Chlorine","units ","93371"
"1993-07","Ethylene","units ","207841"
"1993-07","Formaldehyde, 100% solids basis","units ","11042"
"1993-07","Sodium chlorate","units ","73523"
"1993-07","Sodium hydroxide (caustic soda), as 100% NaOH","units ","99004"
"1993-07","Polyethylene, total","units ","136556"
"1993-07","Polyethylene, low and linear low density","units ","85279"
"1993-07","Polyethylene, high density","units ","51277"
"1993-07","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","13420"
"1993-07","Polyvinyl chloride","units ","36789"
"1993-07","Polyesters, unsaturated","units ","2879"
"1993-07","Urea, all grades","units ","223153"
"1993-07","Phosphoric acid, wet process","units ",
"1993-07","Butadiene","units ","16504"
"1993-07","Butylene","units ",
"1993-07","Propylene, as propylene in all grades","units ","65120"
"1993-07","Toluene","units ","18201"
"1993-07","Xylene","units ","14992"
"1993-07","Methyl alcohol (methanol)","units ","213937"
"1993-07","Nitric acid, 100 %","units ","65672"
"1993-08","Hydrochloric (muriatic) acid, 100%","units ","9628"
"1993-08","Sulphuric acid, all grades, including oleum, as 100%","units ","337008"
"1993-08","Ammonia, anhydrous, 100%","units ","359995"
"1993-08","Ammonium nitrate, all grades","units ","77588"
"1993-08","Ammonium phosphate, all grades","units ",
"1993-08","Benzene","units ","62916"
"1993-08","Chlorine","units ","93814"
"1993-08","Ethylene","units ","200716"
"1993-08","Formaldehyde, 100% solids basis","units ",
"1993-08","Sodium chlorate","units ","74836"
"1993-08","Sodium hydroxide (caustic soda), as 100% NaOH","units ","98487"
"1993-08","Polyethylene, total","units ","147499"
"1993-08","Polyethylene, low and linear low density","units ","94670"
"1993-08","Polyethylene, high density","units ","52829"
"1993-08","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","14268"
"1993-08","Polyvinyl chloride","units ","36144"
"1993-08","Polyesters, unsaturated","units ","4307"
"1993-08","Urea, all grades","units ","249227"
"1993-08","Phosphoric acid, wet process","units ",
"1993-08","Butadiene","units ","14770"
"1993-08","Butylene","units ","12867"
"1993-08","Propylene, as propylene in all grades","units ","62490"
"1993-08","Toluene","units ","34889"
"1993-08","Xylene","units ","21634"
"1993-08","Methyl alcohol (methanol)","units ","204574"
"1993-08","Nitric acid, 100 %","units ","68122"
"1993-09","Hydrochloric (muriatic) acid, 100%","units ","10905"
"1993-09","Sulphuric acid, all grades, including oleum, as 100%","units ","344422"
"1993-09","Ammonia, anhydrous, 100%","units ","321461"
"1993-09","Ammonium nitrate, all grades","units ","78198"
"1993-09","Ammonium phosphate, all grades","units ",
"1993-09","Benzene","units ","62264"
"1993-09","Chlorine","units ","99068"
"1993-09","Ethylene","units ","164866"
"1993-09","Formaldehyde, 100% solids basis","units ","13899"
"1993-09","Sodium chlorate","units ","66530"
"1993-09","Sodium hydroxide (caustic soda), as 100% NaOH","units ","105684"
"1993-09","Polyethylene, total","units ","146947"
"1993-09","Polyethylene, low and linear low density","units ","91544"
"1993-09","Polyethylene, high density","units ","55403"
"1993-09","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","13985"
"1993-09","Polyvinyl chloride","units ","35231"
"1993-09","Polyesters, unsaturated","units ","4533"
"1993-09","Urea, all grades","units ","217778"
"1993-09","Phosphoric acid, wet process","units ",
"1993-09","Butadiene","units ","13976"
"1993-09","Butylene","units ","16931"
"1993-09","Propylene, as propylene in all grades","units ","62157"
"1993-09","Toluene","units ","23769"
"1993-09","Xylene","units ","27101"
"1993-09","Methyl alcohol (methanol)","units ",
"1993-09","Nitric acid, 100 %","units ","79008"
"1993-10","Hydrochloric (muriatic) acid, 100%","units ","10420"
"1993-10","Sulphuric acid, all grades, including oleum, as 100%","units ","353986"
"1993-10","Ammonia, anhydrous, 100%","units ","373115"
"1993-10","Ammonium nitrate, all grades","units ","79983"
"1993-10","Ammonium phosphate, all grades","units ",
"1993-10","Benzene","units ","57311"
"1993-10","Chlorine","units ","83611"
"1993-10","Ethylene","units ","216906"
"1993-10","Formaldehyde, 100% solids basis","units ","12367"
"1993-10","Sodium chlorate","units ","68595"
"1993-10","Sodium hydroxide (caustic soda), as 100% NaOH","units ","87355"
"1993-10","Polyethylene, total","units ","151727"
"1993-10","Polyethylene, low and linear low density","units ","95808"
"1993-10","Polyethylene, high density","units ","55919"
"1993-10","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","12913"
"1993-10","Polyvinyl chloride","units ","41717"
"1993-10","Polyesters, unsaturated","units ","4255"
"1993-10","Urea, all grades","units ","276480"
"1993-10","Phosphoric acid, wet process","units ",
"1993-10","Butadiene","units ","14046"
"1993-10","Butylene","units ",
"1993-10","Propylene, as propylene in all grades","units ","56389"
"1993-10","Toluene","units ","26751"
"1993-10","Xylene","units ","32913"
"1993-10","Methyl alcohol (methanol)","units ",
"1993-10","Nitric acid, 100 %","units ","73831"
"1993-11","Hydrochloric (muriatic) acid, 100%","units ","10259"
"1993-11","Sulphuric acid, all grades, including oleum, as 100%","units ","357753"
"1993-11","Ammonia, anhydrous, 100%","units ","376368"
"1993-11","Ammonium nitrate, all grades","units ","85809"
"1993-11","Ammonium phosphate, all grades","units ",
"1993-11","Benzene","units ","58038"
"1993-11","Chlorine","units ","87411"
"1993-11","Ethylene","units ","218695"
"1993-11","Formaldehyde, 100% solids basis","units ","12725"
"1993-11","Sodium chlorate","units ","70984"
"1993-11","Sodium hydroxide (caustic soda), as 100% NaOH","units ","90076"
"1993-11","Polyethylene, total","units ","155370"
"1993-11","Polyethylene, low and linear low density","units ","94306"
"1993-11","Polyethylene, high density","units ","61064"
"1993-11","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","10302"
"1993-11","Polyvinyl chloride","units ","39633"
"1993-11","Polyesters, unsaturated","units ","4273"
"1993-11","Urea, all grades","units ","284892"
"1993-11","Phosphoric acid, wet process","units ",
"1993-11","Butadiene","units ","13085"
"1993-11","Butylene","units ",
"1993-11","Propylene, as propylene in all grades","units ","63317"
"1993-11","Toluene","units ","35088"
"1993-11","Xylene","units ","39652"
"1993-11","Methyl alcohol (methanol)","units ","199812"
"1993-11","Nitric acid, 100 %","units ","78156"
"1993-12","Hydrochloric (muriatic) acid, 100%","units ","12049"
"1993-12","Sulphuric acid, all grades, including oleum, as 100%","units ","357260"
"1993-12","Ammonia, anhydrous, 100%","units ","383024"
"1993-12","Ammonium nitrate, all grades","units ","96917"
"1993-12","Ammonium phosphate, all grades","units ",
"1993-12","Benzene","units ","61458"
"1993-12","Chlorine","units ","91847"
"1993-12","Ethylene","units ","232452"
"1993-12","Formaldehyde, 100% solids basis","units ","13149"
"1993-12","Sodium chlorate","units ","74642"
"1993-12","Sodium hydroxide (caustic soda), as 100% NaOH","units ","96569"
"1993-12","Polyethylene, total","units ","153421"
"1993-12","Polyethylene, low and linear low density","units ","95805"
"1993-12","Polyethylene, high density","units ","57616"
"1993-12","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","12637"
"1993-12","Polyvinyl chloride","units ","25299"
"1993-12","Polyesters, unsaturated","units ","3785"
"1993-12","Urea, all grades","units ","292098"
"1993-12","Phosphoric acid, wet process","units ",
"1993-12","Butadiene","units ","16160"
"1993-12","Butylene","units ",
"1993-12","Propylene, as propylene in all grades","units ","69173"
"1993-12","Toluene","units ","29353"
"1993-12","Xylene","units ","31897"
"1993-12","Methyl alcohol (methanol)","units ","209083"
"1993-12","Nitric acid, 100 %","units ","80123"
"1994-01","Hydrochloric (muriatic) acid, 100%","units ","11826"
"1994-01","Sulphuric acid, all grades, including oleum, as 100%","units ","298554"
"1994-01","Ammonia, anhydrous, 100%","units ","352998"
"1994-01","Ammonium nitrate, all grades","units ","67952"
"1994-01","Ammonium phosphate, all grades","units ",
"1994-01","Benzene","units ","64274"
"1994-01","Chlorine","units ","94199"
"1994-01","Ethylene","units ","217012"
"1994-01","Formaldehyde, 100% solids basis","units ","10026"
"1994-01","Sodium chlorate","units ","80223"
"1994-01","Sodium hydroxide (caustic soda), as 100% NaOH","units ","97006"
"1994-01","Polyethylene, total","units ","143053"
"1994-01","Polyethylene, low and linear low density","units ","90451"
"1994-01","Polyethylene, high density","units ","52602"
"1994-01","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","13088"
"1994-01","Polyvinyl chloride","units ","37052"
"1994-01","Polyesters, unsaturated","units ","4503"
"1994-01","Urea, all grades","units ","291845"
"1994-01","Phosphoric acid, wet process","units ",
"1994-01","Butadiene","units ","15485"
"1994-01","Butylene","units ",
"1994-01","Propylene, as propylene in all grades","units ","62582"
"1994-01","Toluene","units ","29372"
"1994-01","Xylene","units ","30871"
"1994-01","Methyl alcohol (methanol)","units ",
"1994-01","Nitric acid, 100 %","units ","73243"
"1994-01","Aluminum sulphate (alum)","units ","12057"
"1994-01","Carbon black","units ","14401"
"1994-01","Hydrogen peroxide, 100%","units ","10970"
"1994-01","Zinc oxide","units ",
"1994-02","Hydrochloric (muriatic) acid, 100%","units ","9832"
"1994-02","Sulphuric acid, all grades, including oleum, as 100%","units ","290837"
"1994-02","Ammonia, anhydrous, 100%","units ","350382"
"1994-02","Ammonium nitrate, all grades","units ","76561"
"1994-02","Ammonium phosphate, all grades","units ",
"1994-02","Benzene","units ","54583"
"1994-02","Chlorine","units ","83456"
"1994-02","Ethylene","units ","203827"
"1994-02","Formaldehyde, 100% solids basis","units ","11839"
"1994-02","Sodium chlorate","units ","72198"
"1994-02","Sodium hydroxide (caustic soda), as 100% NaOH","units ","82717"
"1994-02","Polyethylene, total","units ","141786"
"1994-02","Polyethylene, low and linear low density","units ","84618"
"1994-02","Polyethylene, high density","units ","57168"
"1994-02","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","12135"
"1994-02","Polyvinyl chloride","units ","35922"
"1994-02","Polyesters, unsaturated","units ","4302"
"1994-02","Urea, all grades","units ","261758"
"1994-02","Phosphoric acid, wet process","units ",
"1994-02","Butadiene","units ","13828"
"1994-02","Butylene","units ",
"1994-02","Propylene, as propylene in all grades","units ","59221"
"1994-02","Toluene","units ","20241"
"1994-02","Xylene","units ","20339"
"1994-02","Methyl alcohol (methanol)","units ",
"1994-02","Nitric acid, 100 %","units ","71842"
"1994-02","Aluminum sulphate (alum)","units ","14578"
"1994-02","Carbon black","units ","12775"
"1994-02","Hydrogen peroxide, 100%","units ","10363"
"1994-02","Zinc oxide","units ",
"1994-03","Hydrochloric (muriatic) acid, 100%","units ","12308"
"1994-03","Sulphuric acid, all grades, including oleum, as 100%","units ","390302"
"1994-03","Ammonia, anhydrous, 100%","units ","390740"
"1994-03","Ammonium nitrate, all grades","units ","89969"
"1994-03","Ammonium phosphate, all grades","units ","79304"
"1994-03","Benzene","units ","68091"
"1994-03","Chlorine","units ","88954"
"1994-03","Ethylene","units ","221206"
"1994-03","Formaldehyde, 100% solids basis","units ","13449"
"1994-03","Sodium chlorate","units ","78374"
"1994-03","Sodium hydroxide (caustic soda), as 100% NaOH","units ","94951"
"1994-03","Polyethylene, total","units ","160387"
"1994-03","Polyethylene, low and linear low density","units ","96795"
"1994-03","Polyethylene, high density","units ","63592"
"1994-03","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","13520"
"1994-03","Polyvinyl chloride","units ","40330"
"1994-03","Polyesters, unsaturated","units ","5355"
"1994-03","Urea, all grades","units ","289667"
"1994-03","Phosphoric acid, wet process","units ",
"1994-03","Butadiene","units ","14450"
"1994-03","Butylene","units ",
"1994-03","Propylene, as propylene in all grades","units ","69213"
"1994-03","Toluene","units ","34202"
"1994-03","Xylene","units ","32899"
"1994-03","Methyl alcohol (methanol)","units ",
"1994-03","Nitric acid, 100 %","units ","85936"
"1994-03","Aluminum sulphate (alum)","units ","15689"
"1994-03","Carbon black","units ","14523"
"1994-03","Hydrogen peroxide, 100%","units ","11250"
"1994-03","Zinc oxide","units ",
"1994-04","Hydrochloric (muriatic) acid, 100%","units ","11285"
"1994-04","Sulphuric acid, all grades, including oleum, as 100%","units ","358305"
"1994-04","Ammonia, anhydrous, 100%","units ","350203"
"1994-04","Ammonium nitrate, all grades","units ","78238"
"1994-04","Ammonium phosphate, all grades","units ",
"1994-04","Benzene","units ","62128"
"1994-04","Chlorine","units ","87576"
"1994-04","Ethylene","units ","214537"
"1994-04","Formaldehyde, 100% solids basis","units ","14191"
"1994-04","Sodium chlorate","units ","77023"
"1994-04","Sodium hydroxide (caustic soda), as 100% NaOH","units ","93269"
"1994-04","Polyethylene, total","units ","148896"
"1994-04","Polyethylene, low and linear low density","units ","93146"
"1994-04","Polyethylene, high density","units ","55750"
"1994-04","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","13843"
"1994-04","Polyvinyl chloride","units ","40682"
"1994-04","Polyesters, unsaturated","units ","5305"
"1994-04","Urea, all grades","units ","244822"
"1994-04","Phosphoric acid, wet process","units ",
"1994-04","Butadiene","units ","13051"
"1994-04","Butylene","units ","13749"
"1994-04","Propylene, as propylene in all grades","units ","62296"
"1994-04","Toluene","units ","27414"
"1994-04","Xylene","units ","27868"
"1994-04","Methyl alcohol (methanol)","units ",
"1994-04","Nitric acid, 100 %","units ","75418"
"1994-04","Aluminum sulphate (alum)","units ","16486"
"1994-04","Carbon black","units ","13893"
"1994-04","Hydrogen peroxide, 100%","units ","11258"
"1994-04","Zinc oxide","units ",
"1994-05","Hydrochloric (muriatic) acid, 100%","units ","11486"
"1994-05","Sulphuric acid, all grades, including oleum, as 100%","units ","344257"
"1994-05","Ammonia, anhydrous, 100%","units ","379470"
"1994-05","Ammonium nitrate, all grades","units ","78621"
"1994-05","Ammonium phosphate, all grades","units ",
"1994-05","Benzene","units ","64932"
"1994-05","Chlorine","units ","85198"
"1994-05","Ethylene","units ",
"1994-05","Formaldehyde, 100% solids basis","units ","14120"
"1994-05","Sodium chlorate","units ","83614"
"1994-05","Sodium hydroxide (caustic soda), as 100% NaOH","units ","91293"
"1994-05","Polyethylene, total","units ","157514"
"1994-05","Polyethylene, low and linear low density","units ","101002"
"1994-05","Polyethylene, high density","units ","56512"
"1994-05","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","13352"
"1994-05","Polyvinyl chloride","units ","40793"
"1994-05","Polyesters, unsaturated","units ","5392"
"1994-05","Urea, all grades","units ","261239"
"1994-05","Phosphoric acid, wet process","units ",
"1994-05","Butadiene","units ","15750"
"1994-05","Butylene","units ",
"1994-05","Propylene, as propylene in all grades","units ","55111"
"1994-05","Toluene","units ","25171"
"1994-05","Xylene","units ","20806"
"1994-05","Methyl alcohol (methanol)","units ",
"1994-05","Nitric acid, 100 %","units ","73857"
"1994-05","Aluminum sulphate (alum)","units ","16290"
"1994-05","Carbon black","units ","15102"
"1994-05","Hydrogen peroxide, 100%","units ","10769"
"1994-05","Zinc oxide","units ",
"1994-06","Hydrochloric (muriatic) acid, 100%","units ","10928"
"1994-06","Sulphuric acid, all grades, including oleum, as 100%","units ","267605"
"1994-06","Ammonia, anhydrous, 100%","units ","323841"
"1994-06","Ammonium nitrate, all grades","units ","85399"
"1994-06","Ammonium phosphate, all grades","units ",
"1994-06","Benzene","units ","52637"
"1994-06","Chlorine","units ","91875"
"1994-06","Ethylene","units ",
"1994-06","Formaldehyde, 100% solids basis","units ","15646"
"1994-06","Sodium chlorate","units ","74733"
"1994-06","Sodium hydroxide (caustic soda), as 100% NaOH","units ","98036"
"1994-06","Polyethylene, total","units ","137838"
"1994-06","Polyethylene, low and linear low density","units ","89452"
"1994-06","Polyethylene, high density","units ","48386"
"1994-06","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","15070"
"1994-06","Polyvinyl chloride","units ","36648"
"1994-06","Polyesters, unsaturated","units ","5446"
"1994-06","Urea, all grades","units ","229778"
"1994-06","Phosphoric acid, wet process","units ",
"1994-06","Butadiene","units ",
"1994-06","Butylene","units ",
"1994-06","Propylene, as propylene in all grades","units ","48608"
"1994-06","Toluene","units ","16599"
"1994-06","Xylene","units ","15955"
"1994-06","Methyl alcohol (methanol)","units ",
"1994-06","Nitric acid, 100 %","units ","86337"
"1994-06","Aluminum sulphate (alum)","units ","14711"
"1994-06","Carbon black","units ","14314"
"1994-06","Hydrogen peroxide, 100%","units ","11177"
"1994-06","Zinc oxide","units ",
"1994-07","Hydrochloric (muriatic) acid, 100%","units ","10976"
"1994-07","Sulphuric acid, all grades, including oleum, as 100%","units ","308116"
"1994-07","Ammonia, anhydrous, 100%","units ","365437"
"1994-07","Ammonium nitrate, all grades","units ","71458"
"1994-07","Ammonium phosphate, all grades","units ",
"1994-07","Benzene","units ","67351"
"1994-07","Chlorine","units ","87601"
"1994-07","Ethylene","units ","223387"
"1994-07","Formaldehyde, 100% solids basis","units ","14619"
"1994-07","Sodium chlorate","units ","79500"
"1994-07","Sodium hydroxide (caustic soda), as 100% NaOH","units ","92843"
"1994-07","Polyethylene, total","units ","164544"
"1994-07","Polyethylene, low and linear low density","units ","108372"
"1994-07","Polyethylene, high density","units ","56172"
"1994-07","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","15183"
"1994-07","Polyvinyl chloride","units ","39358"
"1994-07","Polyesters, unsaturated","units ","4751"
"1994-07","Urea, all grades","units ","280435"
"1994-07","Phosphoric acid, wet process","units ",
"1994-07","Butadiene","units ",
"1994-07","Butylene","units ",
"1994-07","Propylene, as propylene in all grades","units ","62500"
"1994-07","Toluene","units ","23293"
"1994-07","Xylene","units ","31082"
"1994-07","Methyl alcohol (methanol)","units ",
"1994-07","Nitric acid, 100 %","units ","62261"
"1994-07","Aluminum sulphate (alum)","units ","14908"
"1994-07","Carbon black","units ","12744"
"1994-07","Hydrogen peroxide, 100%","units ","10964"
"1994-07","Zinc oxide","units ",
"1994-08","Hydrochloric (muriatic) acid, 100%","units ","10723"
"1994-08","Sulphuric acid, all grades, including oleum, as 100%","units ","383038"
"1994-08","Ammonia, anhydrous, 100%","units ","366314"
"1994-08","Ammonium nitrate, all grades","units ","62896"
"1994-08","Ammonium phosphate, all grades","units ",
"1994-08","Benzene","units ","70633"
"1994-08","Chlorine","units ","76203"
"1994-08","Ethylene","units ","220766"
"1994-08","Formaldehyde, 100% solids basis","units ","13229"
"1994-08","Sodium chlorate","units ","82581"
"1994-08","Sodium hydroxide (caustic soda), as 100% NaOH","units ","94039"
"1994-08","Polyethylene, total","units ","170215"
"1994-08","Polyethylene, low and linear low density","units ","101685"
