"Year","Commodity","Unit","Value"
"1999","Cauliflower frozen","Kilograms per person, per year","0.15"
"1999","Celery fresh","Kilograms per person, per year","2.29"
"1999","Corn fresh","Kilograms per person, per year","0.72"
"1999","Corn canned","Kilograms per person, per year","1.32"
"1999","Corn frozen","Kilograms per person, per year","0.68"
"1999","Cucumbers fresh","Kilograms per person, per year","1.90"
"1999","Other edible roots fresh","Kilograms per person, per year","0.09"
"1999","Eggplants fresh","Kilograms per person, per year","0.18"
"1999","Garlic fresh","Kilograms per person, per year","0.21"
"1999","Kohlrabi fresh","Kilograms per person, per year","0.07"
"1999","Leeks fresh","Kilograms per person, per year","0.12"
"1999","Other leguminous vegetables fresh","Kilograms per person, per year","0.02"
"1999","Lettuce fresh","Kilograms per person, per year","6.12"
"1999","Lima beans frozen","Kilograms per person, per year","0.02"
"1999","Manioc fresh","Kilograms per person, per year","0.02"
"1999","Mushrooms fresh","Kilograms per person, per year","1.13"
"1999","Mushrooms canned","Kilograms per person, per year","0.61"
"1999","Okra fresh","Kilograms per person, per year","0.04"
"1999","Olives fresh","Kilograms per person, per year","0.02"
"1999","Onions and shallots fresh","Kilograms per person, per year","4.10"
"1999","Parsley fresh","Kilograms per person, per year","0.12"
"1999","Parsnips fresh","Kilograms per person, per year","0.07"
"1999","Peas fresh","Kilograms per person, per year","0.14"
"1999","Peas canned","Kilograms per person, per year","0.61"
"1999","Peas frozen","Kilograms per person, per year","0.92"
"1999","Peppers fresh","Kilograms per person, per year","1.76"
"1999","Potatoes chips","Kilograms per person, per year","2.49"
"1999","Potatoes frozen","Kilograms per person, per year","6.52"
"1999","Potatoes other processed","Kilograms per person, per year","3.51"
"1999","Potatoes total processed","Kilograms per person, per year","12.52"
"1999","Potatoes sweet fresh","Kilograms per person, per year","0.27"
"1999","Potatoes white fresh","Kilograms per person, per year","20.99"
"1999","Potatoes white fresh and processed","Kilograms per person, per year","33.55"
"1999","Pumpkins and squash fresh","Kilograms per person, per year","1.00"
"1999","Radishes fresh","Kilograms per person, per year","0.33"
"1999","Rappini fresh","Kilograms per person, per year","0.07"
"1999","Rutabagas and turnips fresh","Kilograms per person, per year","0.88"
"1999","Spinach fresh","Kilograms per person, per year","0.31"
"1999","Spinach frozen","Kilograms per person, per year","0.09"
"1999","Tomatoes fresh","Kilograms per person, per year","4.83"
"1999","Tomatoes canned","Kilograms per person, per year","3.16"
"1999","Tomato juice","Litres per person, per year","1.29"
"1999","Tomatoes, pulp, paste and puree","Kilograms per person, per year","2.17"
"1999","Vegetables not specified fresh","Kilograms per person, per year","0.82"
"1999","Vegetables not specified canned","Kilograms per person, per year","1.73"
"1999","Vegetables not specified frozen","Kilograms per person, per year","0.60"
"1999","Fresh and frozen sea fish, edible weight","Kilograms per person, per year","3.00"
"1999","Processed sea fish, edible weight","Kilograms per person, per year","2.11"
"1999","Total shellfish, edible weight","Kilograms per person, per year","1.43"
"1999","Freshwater fish, edible weight","Kilograms per person, per year","0.26"
"2000","Wheat flour","Kilograms per person, per year","67.05"
"2000","Rye flour","Kilograms per person, per year","0.30"
"2000","Oatmeal and rolled oats","Kilograms per person, per year","2.25"
"2000","Pot and pearl barley","Kilograms per person, per year","0.06"
"2000","Corn flour and meal","Kilograms per person, per year","2.55"
"2000","Rice","Kilograms per person, per year","6.04"
"2000","Breakfast food","Kilograms per person, per year","5.28"
"2000","Sugar refined","Kilograms per person, per year","34.58"
"2000","Sugar refined, sugar content","Kilograms per person, per year","34.58"
"2000","Maple sugar","Kilograms per person, per year","0.18"
"2000","Maple sugar, sugar content","Kilograms per person, per year","0.16"
"2000","Honey","Kilograms per person, per year","0.63"
"2000","Honey, sugar content","Kilograms per person, per year","0.49"
"2000","Dry beans","Kilograms per person, per year",
"2000","Baked and canned beans","Kilograms per person, per year","1.37"
"2000","Dry peas","Kilograms per person, per year",
"2000","Peanuts","Kilograms per person, per year","2.95"
"2000","Tree nuts","Kilograms per person, per year","1.50"
"2000","Tea","Litres per person, per year","71.04"
"2000","Tea, leaf equivalent","Kilograms per person, per year","0.91"
"2000","Coffee","Litres per person, per year","101.31"
"2000","Coffee, green bean equivalent","Kilograms per person, per year","4.64"
"2000","Cocoa, green bean equivalent","Kilograms per person, per year","1.40"
"2000","Ale, beer, stout and porter, total population","Litres per person, per year","67.90"
"2000","Ale, beer, stout and porter, population 15 years old and over","Litres per person, per year","84.01"
"2000","Distilled spirits, total population","Litres per person, per year","5.43"
"2000","Distilled spirits, population 15 years old and over","Litres per person, per year","6.72"
"2000","Wines, total population","Litres per person, per year","9.90"
"2000","Wines, population 15 years old and over","Litres per person, per year","12.25"
"2000","Soft drinks","Litres per person, per year","113.15"
"2000","Bottled water","Litres per person, per year","26.72"
"2000","Cheddar cheese","Kilograms per person, per year","3.17"
"2000","Cheddar cheese, milk solids","Kilograms per person, per year","2.00"
"2000","Processed cheese","Kilograms per person, per year","2.35"
"2000","Processed cheese, milk solids","Kilograms per person, per year","1.44"
"2000","Variety cheese","Kilograms per person, per year","6.56"
"2000","Variety cheese, milk solids","Kilograms per person, per year","3.28"
"2000","Cottage cheese","Kilograms per person, per year","0.79"
"2000","Cottage cheese, milk solids","Kilograms per person, per year","0.17"
"2000","Powder skim milk","Kilograms per person, per year","0.95"
"2000","Powder skim milk, milk solids","Kilograms per person, per year","0.91"
"2000","Powder buttermilk","Kilograms per person, per year","0.16"
"2000","Powder buttermilk, milk solids","Kilograms per person, per year","0.15"
"2000","Powder whey","Kilograms per person, per year","0.93"
"2000","Powder whey, milk solids","Kilograms per person, per year","0.90"
"2000","Other whole milk products","Kilograms per person, per year","0.84"
"2000","Other whole milk products, milk solids","Kilograms per person, per year","0.82"
"2000","Concentrated whole milk","Litres per person, per year","1.06"
"2000","Concentrated whole milk, milk solids","Kilograms per person, per year","0.30"
"2000","Sweetened concentrated whole milk","Litres per person, per year",
"2000","Sweetened concentrated whole milk, milk solids","Kilograms per person, per year",
"2000","Concentrated skim milk","Litres per person, per year","0.31"
"2000","Concentrated skim milk, milk solids","Kilograms per person, per year","0.07"
"2000","Sweetened concentrated skim milk","Litres per person, per year","0.05"
"2000","Sweetened concentrated skim milk, milk solids","Kilograms per person, per year","0.01"
"2000","Milkshake","Litres per person, per year","0.60"
"2000","Milkshake, milk solids","Kilograms per person, per year","0.21"
"2000","Ice cream","Litres per person, per year","8.62"
"2000","Ice cream, milk solids","Kilograms per person, per year","1.06"
"2000","Sherbet","Litres per person, per year","0.39"
"2000","Sherbet, milk solids","Kilograms per person, per year","0.01"
"2000","Ice milk","Litres per person, per year","1.11"
"2000","Ice milk, milk solids","Kilograms per person, per year","0.10"
"2000","Standard milk 3.25%","Litres per person, per year","14.20"
"2000","Standard milk 3.25%, milk solids","Kilograms per person, per year","1.75"
"2000","Buttermilk","Litres per person, per year","0.39"
"2000","Buttermilk, milk solids","Kilograms per person, per year","0.04"
"2000","Partly skimmed milk 2%","Litres per person, per year","43.24"
"2000","Partly skimmed milk 2%, milk solids","Kilograms per person, per year","4.81"
"2000","Partly skimmed milk 1%","Litres per person, per year","17.26"
"2000","Partly skimmed milk 1%, milk solids","Kilograms per person, per year","1.92"
"2000","Skim milk","Litres per person, per year","8.59"
"2000","Skim milk, milk solids","Kilograms per person, per year","0.83"
"2000","Chocolate and other flavoured milk","Litres per person, per year","4.54"
"2000","Chocolate and other flavoured milk, milk solids","Kilograms per person, per year","0.49"
"2000","Cereal cream 10%","Litres per person, per year","2.92"
"2000","Cereal cream 10%, milk solids","Kilograms per person, per year","0.58"
"2000","Table cream 18%","Litres per person, per year","1.57"
"2000","Table cream 18%, milk solids","Kilograms per person, per year","0.42"
"2000","Whipping cream 32% or 35%","Litres per person, per year","1.05"
"2000","Whipping cream 32% or 35%, milk solids","Kilograms per person, per year","0.40"
"2000","Sour cream","Litres per person, per year","1.22"
"2000","Sour cream, milk solids","Kilograms per person, per year","0.25"
"2000","Yogurt","Litres per person, per year","4.59"
"2000","Yogurt, milk solids","Kilograms per person, per year","0.54"
"2000","Chicken, boneless weight","Kilograms per person, per year","17.53"
"2000","Chicken, eviscerated weight","Kilograms per person, per year","29.12"
"2000","Stewing hen, boneless weight","Kilograms per person, per year","1.14"
"2000","Stewing hen, eviscerated weight","Kilograms per person, per year","1.90"
"2000","Chicken and stewing hen total, boneless weight","Kilograms per person, per year","18.67"
"2000","Chicken and stewing hen total, eviscerated weight","Kilograms per person, per year","31.01"
"2000","Turkey, boneless weight","Kilograms per person, per year","3.37"
"2000","Turkey, eviscerated weight","Kilograms per person, per year","4.26"
"2000","Eggs","Kilograms per person, per year","10.71"
"2000","Pork, carcass weight","Kilograms per person, per year","28.69"
"2000","Pork, boneless weight","Kilograms per person, per year","20.92"
"2000","Pork","Kilograms per person, per year","21.81"
"2000","Beef, carcass weight","Kilograms per person, per year","32.02"
"2000","Beef, boneless weight","Kilograms per person, per year","21.42"
"2000","Beef","Kilograms per person, per year","23.40"
"2000","Veal, carcass weight","Kilograms per person, per year","1.32"
"2000","Veal, boneless weight","Kilograms per person, per year","0.90"
"2000","Veal","Kilograms per person, per year","1.10"
"2000","Beef and veal total, carcass weight","Kilograms per person, per year","33.34"
"2000","Beef and veal total, boneless weight","Kilograms per person, per year","22.32"
"2000","Beef and veal total","Kilograms per person, per year","24.50"
"2000","Mutton and lamb, carcass weight","Kilograms per person, per year","0.94"
"2000","Mutton and lamb, boneless weight","Kilograms per person, per year","0.62"
"2000","Mutton and lamb","Kilograms per person, per year","0.84"
"2000","Offal, carcass weight","Kilograms per person, per year","1.04"
"2000","Offal, boneless weight","Kilograms per person, per year","1.04"
"2000","Offal","Kilograms per person, per year","1.04"
"2000","Butter","Kilograms per person, per year","2.75"
"2000","Butter, milk solids","Kilograms per person, per year","2.20"
"2000","Butter, fat content","Kilograms per person, per year","2.20"
"2000","Margarine","Kilograms per person, per year","5.02"
"2000","Margarine, fat content","Kilograms per person, per year","4.07"
"2000","Salad oils","Kilograms per person, per year","12.73"
"2000","Salad oils, fat content","Kilograms per person, per year","12.73"
"2000","Shortening and shortening oils","Kilograms per person, per year","10.16"
"2000","Shortening and shortening oils, fat content","Kilograms per person, per year","10.16"
"2000","Apples fresh","Kilograms per person, per year","10.81"
"2000","Apples fresh, fresh equivalent","Kilograms per person, per year","10.81"
"2000","Apples canned","Kilograms per person, per year","0.13"
"2000","Apples canned, fresh equivalent","Kilograms per person, per year","0.25"
"2000","Apples dried","Kilograms per person, per year","0.04"
"2000","Apples dried, fresh equivalent","Kilograms per person, per year","0.35"
"2000","Apples frozen","Kilograms per person, per year","0.07"
"2000","Apples frozen, fresh equivalent","Kilograms per person, per year","0.12"
"2000","Apple juice","Kilograms per person, per year","7.13"
"2000","Apple juice, fresh equivalent","Kilograms per person, per year","9.84"
"2000","Apple juice","Litres per person, per year","6.83"
"2000","Apple pie filling","Kilograms per person, per year","0.14"
"2000","Apple pie filling, fresh equivalent","Kilograms per person, per year","0.20"
"2000","Apple sauce","Kilograms per person, per year","0.54"
"2000","Apple sauce, fresh equivalent","Kilograms per person, per year","0.70"
"2000","Apricots fresh","Kilograms per person, per year","0.15"
"2000","Apricots fresh, fresh equivalent","Kilograms per person, per year","0.15"
"2000","Apricots canned","Kilograms per person, per year","0.03"
"2000","Apricots canned, fresh equivalent","Kilograms per person, per year","0.02"
"2000","Avocados fresh","Kilograms per person, per year","0.39"
"2000","Avocados fresh, fresh equivalent","Kilograms per person, per year","0.39"
"2000","Bananas fresh","Kilograms per person, per year","12.99"
"2000","Bananas fresh, fresh equivalent","Kilograms per person, per year","12.99"
"2000","Other fresh berries","Kilograms per person, per year","0.06"
"2000","Other fresh berries, fresh equivalent","Kilograms per person, per year","0.06"
"2000","Blueberries fresh","Kilograms per person, per year","0.51"
"2000","Blueberries fresh, fresh equivalent","Kilograms per person, per year","0.51"
"2000","Blueberries canned","Kilograms per person, per year","0.01"
"2000","Blueberries canned, fresh equivalent","Kilograms per person, per year","0.01"
"2000","Blueberries frozen","Kilograms per person, per year","0.45"
"2000","Blueberries frozen, fresh equivalent","Kilograms per person, per year","0.46"
"2000","Cherries fresh","Kilograms per person, per year","0.36"
"2000","Cherries fresh, fresh equivalent","Kilograms per person, per year","0.36"
"2000","Cherries frozen","Kilograms per person, per year","0.15"
"2000","Cherries frozen, fresh equivalent","Kilograms per person, per year","0.15"
"2000","Coconut fresh","Kilograms per person, per year","0.30"
"2000","Coconut fresh, fresh equivalent","Kilograms per person, per year","0.30"
"2000","Cranberries fresh","Kilograms per person, per year","0.40"
"2000","Cranberries fresh, fresh equivalent","Kilograms per person, per year","0.40"
"2000","Dates fresh","Kilograms per person, per year","0.62"
"2000","Dates fresh, fresh equivalent","Kilograms per person, per year","0.62"
"2000","Figs fresh","Kilograms per person, per year","0.30"
"2000","Figs fresh, fresh equivalent","Kilograms per person, per year","0.30"
"2000","Grapes fresh","Kilograms per person, per year","4.54"
"2000","Grapes fresh, fresh equivalent","Kilograms per person, per year","4.54"
"2000","Grape juice","Kilograms per person, per year","3.37"
"2000","Grape juice, fresh equivalent","Kilograms per person, per year","4.18"
"2000","Grape juice","Litres per person, per year","3.26"
"2000","Guavas and mangoes fresh","Kilograms per person, per year","0.93"
"2000","Guavas and mangoes fresh, fresh equivalent","Kilograms per person, per year","0.93"
"2000","Kiwis fresh","Kilograms per person, per year","0.42"
"2000","Kiwis fresh, fresh equivalent","Kilograms per person, per year","0.42"
"2000","Melons, musk and cantaloups fresh","Kilograms per person, per year","2.74"
"2000","Melons, musk and cantaloups fresh, fresh equivalent","Kilograms per person, per year","2.74"
"2000","Other fresh melons","Kilograms per person, per year","1.33"
"2000","Other fresh melons, fresh equivalent","Kilograms per person, per year","1.33"
"2000","Watermelons fresh","Kilograms per person, per year","4.30"
"2000","Watermelons fresh, fresh equivalent","Kilograms per person, per year","4.30"
"2000","Wintermelons fresh","Kilograms per person, per year","0.02"
"2000","Wintermelons fresh, fresh equivalent","Kilograms per person, per year","0.02"
"2000","Melons total fresh","Kilograms per person, per year","8.40"
"2000","Melons total fresh, fresh equivalent","Kilograms per person, per year","8.40"
"2000","Nectarines fresh","Kilograms per person, per year","1.03"
"2000","Nectarines fresh, fresh equivalent","Kilograms per person, per year","1.03"
"2000","Papayas fresh","Kilograms per person, per year","0.15"
"2000","Papayas fresh, fresh equivalent","Kilograms per person, per year","0.15"
"2000","Peaches fresh","Kilograms per person, per year","1.29"
"2000","Peaches fresh, fresh equivalent","Kilograms per person, per year","1.29"
"2000","Peaches canned","Kilograms per person, per year","1.07"
"2000","Peaches canned, fresh equivalent","Kilograms per person, per year","1.09"
"2000","Pears fresh","Kilograms per person, per year","2.40"
"2000","Pears fresh, fresh equivalent","Kilograms per person, per year","2.40"
"2000","Pears canned","Kilograms per person, per year","0.37"
"2000","Pears canned, fresh equivalent","Kilograms per person, per year","0.41"
"2000","Pineapples fresh","Kilograms per person, per year","1.27"
"2000","Pineapples fresh, fresh equivalent","Kilograms per person, per year","1.27"
"2000","Pineapples canned","Kilograms per person, per year","0.95"
"2000","Pineapples canned, fresh equivalent","Kilograms per person, per year","1.63"
"2000","Pineapple juice","Kilograms per person, per year","0.81"
"2000","Pineapple juice, fresh equivalent","Kilograms per person, per year","1.38"
"2000","Pineapple juice","Litres per person, per year","0.78"
"2000","Plums total fresh","Kilograms per person, per year","0.85"
"2000","Plums total fresh, fresh equivalent","Kilograms per person, per year","0.85"
"2000","Quinces fresh","Kilograms per person, per year","0.00"
"2000","Quinces fresh, fresh equivalent","Kilograms per person, per year","0.00"
"2000","Raspberries frozen","Kilograms per person, per year","0.30"
"2000","Raspberries frozen, fresh equivalent","Kilograms per person, per year","0.31"
"2000","Strawberries fresh","Kilograms per person, per year","2.12"
"2000","Strawberries fresh, fresh equivalent","Kilograms per person, per year","2.12"
"2000","Strawberries canned","Kilograms per person, per year","0.06"
"2000","Strawberries canned, fresh equivalent","Kilograms per person, per year","0.04"
"2000","Strawberries frozen","Kilograms per person, per year","0.55"
"2000","Strawberries frozen, fresh equivalent","Kilograms per person, per year","0.49"
"2000","Fruits not specified fresh","Kilograms per person, per year","0.58"
"2000","Fruits not specified fresh, fresh equivalent","Kilograms per person, per year","0.58"
"2000","Fruits not specified canned","Kilograms per person, per year","1.68"
"2000","Fruits not specified canned, fresh equivalent","Kilograms per person, per year","1.56"
"2000","Fruits not specified dried","Kilograms per person, per year","1.47"
"2000","Fruits not specified dried, fresh equivalent","Kilograms per person, per year","8.53"
"2000","Fruits not specified frozen","Kilograms per person, per year","0.34"
"2000","Fruits not specified frozen, fresh equivalent","Kilograms per person, per year","0.44"
"2000","Oranges fresh","Kilograms per person, per year","9.43"
"2000","Oranges fresh, fresh equivalent","Kilograms per person, per year","9.43"
"2000","Orange juice","Kilograms per person, per year","14.98"
"2000","Orange juice, fresh equivalent","Kilograms per person, per year","27.57"
"2000","Orange juice","Litres per person, per year","14.46"
"2000","Lemons fresh","Kilograms per person, per year","1.06"
"2000","Lemons fresh, fresh equivalent","Kilograms per person, per year","1.06"
"2000","Lemon juice","Kilograms per person, per year","0.35"
"2000","Lemon juice, fresh equivalent","Kilograms per person, per year","1.03"
"2000","Lemon juice","Litres per person, per year","0.33"
"2000","Grapefruits fresh","Kilograms per person, per year","1.74"
"2000","Grapefruits fresh, fresh equivalent","Kilograms per person, per year","1.74"
"2000","Grapefruit juice","Kilograms per person, per year","1.02"
"2000","Grapefruit juice, fresh equivalent","Kilograms per person, per year","2.11"
"2000","Grapefruit juice","Litres per person, per year","0.98"
"2000","Limes fresh","Kilograms per person, per year","0.31"
"2000","Limes fresh, fresh equivalent","Kilograms per person, per year","0.31"
"2000","Mandarins fresh","Kilograms per person, per year","2.81"
"2000","Mandarins fresh, fresh equivalent","Kilograms per person, per year","2.81"
"2000","Other citrus fresh","Kilograms per person, per year","0.02"
"2000","Other citrus fresh, fresh equivalent","Kilograms per person, per year","0.02"
"2000","Artichokes fresh","Kilograms per person, per year","0.09"
"2000","Artichokes fresh, fresh equivalent","Kilograms per person, per year","0.09"
"2000","Asparagus fresh","Kilograms per person, per year","0.36"
"2000","Asparagus fresh, fresh equivalent","Kilograms per person, per year","0.36"
"2000","Asparagus canned","Kilograms per person, per year","0.18"
"2000","Asparagus canned, fresh equivalent","Kilograms per person, per year","0.21"
"2000","Beans green and wax fresh","Kilograms per person, per year","0.85"
"2000","Beans green and wax fresh, fresh equivalent","Kilograms per person, per year","0.85"
"2000","Beans green and wax canned","Kilograms per person, per year","1.14"
"2000","Beans green and wax canned, fresh equivalent","Kilograms per person, per year","0.79"
"2000","Beans green and wax frozen","Kilograms per person, per year","0.30"
"2000","Beans green and wax frozen, fresh equivalent","Kilograms per person, per year","0.36"
"2000","Beets fresh","Kilograms per person, per year","0.34"
"2000","Beets fresh, fresh equivalent","Kilograms per person, per year","0.34"
"2000","Beets canned","Kilograms per person, per year","0.17"
"2000","Beets canned, fresh equivalent","Kilograms per person, per year","0.20"
"2000","Broccoli fresh","Kilograms per person, per year","3.17"
"2000","Broccoli fresh, fresh equivalent","Kilograms per person, per year","3.17"
"2000","Broccoli frozen","Kilograms per person, per year","0.65"
"2000","Broccoli frozen, fresh equivalent","Kilograms per person, per year","0.86"
"2000","Brussels sprouts fresh","Kilograms per person, per year","0.17"
"2000","Brussels sprouts fresh, fresh equivalent","Kilograms per person, per year","0.17"
"2000","Brussels sprouts frozen","Kilograms per person, per year","0.06"
"2000","Brussels sprouts frozen, fresh equivalent","Kilograms per person, per year","0.09"
"2000","Cabbage fresh","Kilograms per person, per year","5.48"
"2000","Cabbage fresh, fresh equivalent","Kilograms per person, per year","5.48"
"2000","Chinese cabbage fresh","Kilograms per person, per year","0.65"
"2000","Chinese cabbage fresh, fresh equivalent","Kilograms per person, per year","0.65"
"2000","Carrots fresh","Kilograms per person, per year","8.44"
"2000","Carrots fresh, fresh equivalent","Kilograms per person, per year","8.44"
"2000","Carrots canned","Kilograms per person, per year","0.13"
"2000","Carrots canned, fresh equivalent","Kilograms per person, per year","0.16"
"2000","Carrots frozen","Kilograms per person, per year","1.07"
"2000","Carrots frozen, fresh equivalent","Kilograms per person, per year","1.95"
"2000","Cauliflower fresh","Kilograms per person, per year","2.09"
"2000","Cauliflower fresh, fresh equivalent","Kilograms per person, per year","2.09"
"2000","Cauliflower frozen","Kilograms per person, per year","0.17"
"2000","Cauliflower frozen, fresh equivalent","Kilograms per person, per year","0.24"
"2000","Celery fresh","Kilograms per person, per year","3.38"
"2000","Celery fresh, fresh equivalent","Kilograms per person, per year","3.38"
"2000","Corn fresh","Kilograms per person, per year","2.76"
"2000","Corn fresh, fresh equivalent","Kilograms per person, per year","2.76"
"2000","Corn canned","Kilograms per person, per year","1.36"
"2000","Corn canned, fresh equivalent","Kilograms per person, per year","3.27"
"2000","Corn frozen","Kilograms per person, per year","0.89"
"2000","Corn frozen, fresh equivalent","Kilograms per person, per year","2.97"
"2000","Cucumbers fresh","Kilograms per person, per year","3.95"
"2000","Cucumbers fresh, fresh equivalent","Kilograms per person, per year","3.95"
"2000","Other edible roots fresh","Kilograms per person, per year","0.18"
"2000","Other edible roots fresh, fresh equivalent","Kilograms per person, per year","0.18"
"2000","Eggplants fresh","Kilograms per person, per year","0.40"
"2000","Eggplants fresh, fresh equivalent","Kilograms per person, per year","0.40"
"2000","Garlic fresh","Kilograms per person, per year","0.36"
"2000","Garlic fresh, fresh equivalent","Kilograms per person, per year","0.36"
"2000","Kohlrabi fresh","Kilograms per person, per year","0.14"
"2000","Kohlrabi fresh, fresh equivalent","Kilograms per person, per year","0.14"
"2000","Leeks fresh","Kilograms per person, per year","0.24"
"2000","Leeks fresh, fresh equivalent","Kilograms per person, per year","0.24"
"2000","Other leguminous vegetables fresh","Kilograms per person, per year","0.01"
"2000","Other leguminous vegetables fresh, fresh equivalent","Kilograms per person, per year","0.01"
"2000","Lettuce fresh","Kilograms per person, per year","10.32"
"2000","Lettuce fresh, fresh equivalent","Kilograms per person, per year","10.32"
"2000","Lima beans frozen","Kilograms per person, per year","0.03"
"2000","Lima beans frozen, fresh equivalent","Kilograms per person, per year","0.04"
"2000","Manioc fresh","Kilograms per person, per year","0.05"
"2000","Manioc fresh, fresh equivalent","Kilograms per person, per year","0.05"
"2000","Mushrooms fresh","Kilograms per person, per year","1.87"
"2000","Mushrooms fresh, fresh equivalent","Kilograms per person, per year","1.87"
"2000","Mushrooms canned","Kilograms per person, per year","0.72"
"2000","Mushrooms canned, fresh equivalent","Kilograms per person, per year","0.60"
"2000","Okra fresh","Kilograms per person, per year","0.08"
"2000","Okra fresh, fresh equivalent","Kilograms per person, per year","0.08"
"2000","Olives fresh","Kilograms per person, per year","0.01"
"2000","Olives fresh, fresh equivalent","Kilograms per person, per year","0.01"
"2000","Onions and shallots fresh","Kilograms per person, per year","8.27"
"2000","Onions and shallots fresh, fresh equivalent","Kilograms per person, per year","8.27"
"2000","Parsley fresh","Kilograms per person, per year","0.26"
"2000","Parsley fresh, fresh equivalent","Kilograms per person, per year","0.26"
"2000","Parsnips fresh","Kilograms per person, per year","0.12"
"2000","Parsnips fresh, fresh equivalent","Kilograms per person, per year","0.12"
"2000","Peas fresh","Kilograms per person, per year","0.22"
"2000","Peas fresh, fresh equivalent","Kilograms per person, per year","0.22"
"2000","Peas canned","Kilograms per person, per year","0.53"
"2000","Peas canned, fresh equivalent","Kilograms per person, per year","0.38"
"2000","Peas frozen","Kilograms per person, per year","1.21"
"2000","Peas frozen, fresh equivalent","Kilograms per person, per year","1.32"
"2000","Peppers fresh","Kilograms per person, per year","3.23"
"2000","Peppers fresh, fresh equivalent","Kilograms per person, per year","3.23"
"2000","Potatoes chips","Kilograms per person, per year","3.08"
"2000","Potatoes chips, fresh equivalent","Kilograms per person, per year","12.30"
"2000","Potatoes frozen","Kilograms per person, per year","7.42"
"2000","Potatoes frozen, fresh equivalent","Kilograms per person, per year","13.49"
"2000","Potatoes other processed","Kilograms per person, per year","4.08"
"2000","Potatoes other processed, fresh equivalent","Kilograms per person, per year","11.78"
"2000","Potatoes total processed","Kilograms per person, per year","14.58"
"2000","Potatoes total processed, fresh equivalent","Kilograms per person, per year","37.57"
"2000","Potatoes sweet fresh","Kilograms per person, per year","0.60"
"2000","Potatoes sweet, fresh equivalent","Kilograms per person, per year","0.60"
"2000","Potatoes white fresh","Kilograms per person, per year","36.99"
"2000","Potatoes white fresh, fresh equivalent","Kilograms per person, per year","36.99"
"2000","Potatoes white fresh and processed, fresh equivalent","Kilograms per person, per year","74.56"
"2000","Pumpkins and squash fresh","Kilograms per person, per year","2.14"
"2000","Pumpkins and squash fresh, fresh equivalent","Kilograms per person, per year","2.14"
"2000","Radishes fresh","Kilograms per person, per year","0.93"
"2000","Radishes fresh, fresh equivalent","Kilograms per person, per year","0.93"
"2000","Rappini fresh","Kilograms per person, per year","0.15"
"2000","Rappini fresh, fresh equivalent","Kilograms per person, per year","0.15"
"2000","Rutabagas and turnips fresh","Kilograms per person, per year","1.53"
"2000","Rutabagas and turnips fresh, fresh equivalent","Kilograms per person, per year","1.53"
"2000","Spinach fresh","Kilograms per person, per year","0.67"
"2000","Spinach fresh, fresh equivalent","Kilograms per person, per year","0.67"
"2000","Spinach frozen","Kilograms per person, per year","0.14"
"2000","Spinach frozen, fresh equivalent","Kilograms per person, per year","0.20"
"2000","Tomatoes fresh","Kilograms per person, per year","7.72"
"2000","Tomatoes fresh, fresh equivalent","Kilograms per person, per year","7.72"
"2000","Tomatoes canned","Kilograms per person, per year","3.65"
"2000","Tomatoes canned, fresh equivalent","Kilograms per person, per year","6.20"
"2000","Tomato juice","Kilograms per person, per year","1.47"
"2000","Tomato juice, fresh equivalent","Kilograms per person, per year","1.47"
"2000","Tomato juice","Litres per person, per year","1.47"
"2000","Tomatoes, pulp, paste and puree","Kilograms per person, per year","2.77"
"2000","Tomatoes, pulp, paste and puree, fresh equivalent","Kilograms per person, per year","14.97"
"2000","Vegetables not specified fresh","Kilograms per person, per year","1.12"
"2000","Vegetables not specified fresh, fresh equivalent","Kilograms per person, per year","1.12"
"2000","Vegetables not specified canned","Kilograms per person, per year","1.98"
"2000","Vegetables not specified canned, fresh equivalent","Kilograms per person, per year","2.57"
"2000","Vegetables not specified frozen","Kilograms per person, per year","1.02"
"2000","Vegetables not specified frozen, fresh equivalent","Kilograms per person, per year","1.48"
"2000","Fresh and frozen sea fish, edible weight","Kilograms per person, per year","4.51"
"2000","Processed sea fish, edible weight","Kilograms per person, per year","2.19"
"2000","Total shellfish, edible weight","Kilograms per person, per year","2.35"
"2000","Freshwater fish, edible weight","Kilograms per person, per year","0.46"
"2000","Wheat flour","Kilograms per person, per year","47.20"
"2000","Rye flour","Kilograms per person, per year","0.21"
"2000","Oatmeal and rolled oats","Kilograms per person, per year","1.27"
"2000","Pot and pearl barley","Kilograms per person, per year","0.03"
"2000","Corn flour and meal","Kilograms per person, per year","1.79"
"2000","Rice","Kilograms per person, per year","4.25"
"2000","Breakfast food","Kilograms per person, per year","3.72"
"2000","Sugar refined","Kilograms per person, per year","24.62"
"2000","Maple sugar","Kilograms per person, per year","0.13"
"2000","Honey","Kilograms per person, per year","0.45"
"2000","Dry beans","Kilograms per person, per year",
"2000","Baked and canned beans","Kilograms per person, per year","1.16"
"2000","Dry peas","Kilograms per person, per year",
"2000","Peanuts","Kilograms per person, per year","2.50"
"2000","Tree nuts","Kilograms per person, per year","1.27"
"2000","Tea","Litres per person, per year","60.10"
"2000","Coffee","Litres per person, per year","85.71"
"2000","Cocoa, green bean equivalent","Kilograms per person, per year","1.18"
"2000","Ale, beer, stout and porter, total population","Litres per person, per year","62.57"
"2000","Ale, beer, stout and porter, population 15 years old and over","Litres per person, per year","77.41"
"2000","Distilled spirits, total population","Litres per person, per year","5.01"
