"Year","Commodity","Unit","Value"
"1960","Carrots fresh, fresh equivalent","Kilograms per person, per year","7.98"
"1960","Carrots canned","Kilograms per person, per year","0.24"
"1960","Carrots canned, fresh equivalent","Kilograms per person, per year","0.29"
"1960","Cauliflower fresh","Kilograms per person, per year","0.96"
"1960","Cauliflower fresh, fresh equivalent","Kilograms per person, per year","0.96"
"1960","Celery fresh","Kilograms per person, per year","3.22"
"1960","Celery fresh, fresh equivalent","Kilograms per person, per year","3.22"
"1960","Corn fresh","Kilograms per person, per year","1.43"
"1960","Corn fresh, fresh equivalent","Kilograms per person, per year","1.43"
"1960","Corn canned","Kilograms per person, per year","2.23"
"1960","Corn canned, fresh equivalent","Kilograms per person, per year","5.36"
"1960","Corn frozen","Kilograms per person, per year","0.19"
"1960","Corn frozen, fresh equivalent","Kilograms per person, per year","0.64"
"1960","Cucumbers fresh","Kilograms per person, per year","1.56"
"1960","Cucumbers fresh, fresh equivalent","Kilograms per person, per year","1.56"
"1960","Lettuce fresh","Kilograms per person, per year","5.19"
"1960","Lettuce fresh, fresh equivalent","Kilograms per person, per year","5.19"
"1960","Mushrooms fresh","Kilograms per person, per year",
"1960","Mushrooms fresh, fresh equivalent","Kilograms per person, per year",
"1960","Mushrooms canned","Kilograms per person, per year","0.15"
"1960","Mushrooms canned, fresh equivalent","Kilograms per person, per year","0.22"
"1960","Onions and shallots fresh","Kilograms per person, per year","5.06"
"1960","Onions and shallots fresh, fresh equivalent","Kilograms per person, per year","5.06"
"1960","Parsnips fresh","Kilograms per person, per year","0.27"
"1960","Parsnips fresh, fresh equivalent","Kilograms per person, per year","0.27"
"1960","Peas fresh","Kilograms per person, per year","0.06"
"1960","Peas fresh, fresh equivalent","Kilograms per person, per year","0.06"
"1960","Peas canned","Kilograms per person, per year","2.76"
"1960","Peas canned, fresh equivalent","Kilograms per person, per year","2.02"
"1960","Peas frozen","Kilograms per person, per year","0.82"
"1960","Peas frozen, fresh equivalent","Kilograms per person, per year","0.86"
"1960","Peppers fresh","Kilograms per person, per year","0.12"
"1960","Peppers fresh, fresh equivalent","Kilograms per person, per year","0.12"
